TESTACC,HC2,TS-CHIEF,HC1,InceptionTime,ROCKET,Arsenal,DrCIF,TDE,STC
ACSF1,0.833333333,0.807,0.851333333,0.826666667,0.805666667,0.805333333,0.784333333,0.794333333,0.8
Adiac,0.795140665,0.779710145,0.79599318,0.822080136,0.770247229,0.772122762,0.809633419,0.752088662,0.786189258
ArrowHead,0.886285714,0.881142857,0.876190476,0.880380952,0.853904762,0.862666667,0.825333333,0.903047619,0.793333333
Beef,0.796666667,0.632222222,0.746666667,0.682222222,0.751111111,0.755555556,0.791111111,0.7,0.738888889
BeetleFly,0.903333333,0.958333333,0.966666667,0.893333333,0.886666667,0.886666667,0.878333333,0.936666667,0.938333333
BirdChicken,0.951666667,0.963333333,0.933333333,0.951666667,0.88,0.886666667,0.948333333,0.97,0.878333333
BME,0.999555556,0.996444444,0.982888889,0.996444444,0.997333333,0.997555556,0.999555556,0.914888889,0.928888889
Car,0.907777778,0.878888889,0.869444444,0.901111111,0.9,0.915555556,0.843888889,0.87,0.837222222
CBF,0.997925926,0.998444444,0.998148148,0.996111111,0.995962963,0.995962963,0.984777778,0.996703704,0.985407407
Chinatown,0.973566569,0.961835749,0.96180758,0.964820214,0.96763285,0.967826087,0.979903382,0.953816425,0.964820214
ChlorineConcentration,0.769019097,0.660842014,0.733758681,0.863611111,0.794314236,0.780286458,0.739427083,0.697491319,0.740703125
CinCECGTorso,0.998236715,0.953429952,0.993067633,0.832125604,0.865193237,0.865652174,0.993961353,0.983864734,0.968864734
Coffee,0.998809524,0.99047619,0.994047619,0.998809524,1,1,0.998809524,0.99047619,0.989285714
Computers,0.858533333,0.753866667,0.812666667,0.865866667,0.8424,0.842266667,0.816666667,0.817466667,0.804933333
CricketX,0.83991453,0.83042735,0.814786325,0.853333333,0.840512821,0.833589744,0.772735043,0.811367521,0.787521368
CricketY,0.85042735,0.817008547,0.811709402,0.85982906,0.844700855,0.841452991,0.799059829,0.801111111,0.76957265
CricketZ,0.859487179,0.838205128,0.833504274,0.860940171,0.852307692,0.852307692,0.792393162,0.821111111,0.805555556
Crop,0.763886905,0.76210119,0.769950397,0.793255952,0.751839286,0.744916667,0.77727381,0.719440476,0.734734127
DiatomSizeReduction,0.922331155,0.945860566,0.915359477,0.95087146,0.958714597,0.959259259,0.91459695,0.881808279,0.857189542
DistalPhalanxOutlineAgeGroup,0.820863309,0.828057554,0.822781775,0.765707434,0.812470024,0.816786571,0.821582734,0.798081535,0.794964029
DistalPhalanxOutlineCorrect,0.828381643,0.819323671,0.825,0.815338164,0.821256039,0.823188406,0.833816425,0.775483092,0.829347826
DistalPhalanxTW,0.701678657,0.691846523,0.691846523,0.665467626,0.701438849,0.700239808,0.697841727,0.67146283,0.69616307
Earthquakes,0.748201439,0.748201439,0.747482014,0.73117506,0.748681055,0.748201439,0.748201439,0.747961631,0.743405276
ECG200,0.888666667,0.855,0.858,0.896666667,0.899,0.898666667,0.861,0.849,0.840666667
ECG5000,0.948014815,0.948459259,0.945785185,0.942118519,0.947311111,0.947133333,0.945637037,0.943385185,0.94217037
ECGFiveDays,0.99701897,0.994425087,0.99403794,0.99585753,0.996360821,0.996205962,0.988888889,0.982888115,0.979210221
ElectricDevices,0.898474041,0.865041283,0.879146674,0.890169887,0.892378853,0.890239052,0.882397441,0.828949985,0.881251891
EOGHorizontalSignal,0.815469613,0.853683241,0.794843462,0.883517495,0.813259669,0.807458564,0.795948435,0.731123389,0.739226519
EOGVerticalSignal,0.789871087,0.809484346,0.766850829,0.814732965,0.779281768,0.779558011,0.778268877,0.697053407,0.717771639
EthanolLevel,0.835533333,0.6056,0.851266667,0.875133333,0.6238,0.620333333,0.775,0.5526,0.861466667
FaceAll,0.986725838,0.982721893,0.97974359,0.983195266,0.988027613,0.987771203,0.959428008,0.977988166,0.95321499
FaceFour,0.967045455,0.999621212,0.979924242,0.938636364,0.930681818,0.93219697,0.94280303,0.995454545,0.764772727
FacesUCR,0.974601626,0.972926829,0.962195122,0.97695935,0.971934959,0.971934959,0.915186992,0.960764228,0.910439024
FiftyWords,0.825787546,0.842710623,0.772747253,0.826739927,0.825201465,0.821758242,0.771501832,0.79040293,0.747399267
Fish,0.982285714,0.98152381,0.977714286,0.972761905,0.972761905,0.977142857,0.942095238,0.982095238,0.908380952
FordA,0.953989899,0.94739899,0.945050505,0.959040404,0.943080808,0.943813131,0.967020202,0.933510101,0.934090909
FordB,0.930329218,0.919465021,0.928312757,0.940658436,0.921851852,0.919588477,0.921316872,0.912839506,0.918600823
FreezerRegularTrain,0.999883041,0.998491228,0.999251462,0.99574269,0.992339181,0.995391813,0.999403509,0.99522807,0.999251462
FreezerSmallTrain,0.998187135,0.995461988,0.98502924,0.948830409,0.986327485,0.99019883,0.99922807,0.96328655,0.989064327
GunPoint,0.998888889,1,0.998666667,0.995111111,0.99,0.993111111,0.989333333,1,0.985333333
GunPointAgeSpan,0.995675105,0.999578059,0.996624473,0.98407173,0.993565401,0.993670886,0.984493671,0.998734177,0.967510549
GunPointMaleVersusFemale,1,0.999367089,0.999894515,0.998312236,0.999894515,0.99978903,0.998734177,0.998945148,0.987552743
GunPointOldVersusYoung,1,1,1,1,0.989417989,0.989100529,1,0.998835979,0.978518519
Ham,0.858730159,0.805079365,0.83968254,0.85047619,0.857460317,0.86,0.821587302,0.816190476,0.811428571
HandOutlines,0.934594595,0.937297297,0.916216216,0.942972973,0.938018018,0.937657658,0.915135135,0.903513514,0.921351351
Haptics,0.546753247,0.523268398,0.540151515,0.537012987,0.533658009,0.532683983,0.519047619,0.516233766,0.532900433
Herring,0.626041667,0.597395833,0.6203125,0.625,0.626041667,0.623958333,0.595833333,0.588541667,0.644270833
HouseTwenty,0.98627451,0.970308123,0.979551821,0.953221289,0.962184874,0.964145658,0.940056022,0.989915966,0.975910364
InlineSkate,0.545575758,0.571878788,0.515454545,0.534424242,0.461212121,0.465575758,0.561212121,0.559878788,0.455939394
InsectEPGRegularTrain,1,1,1,1,0.987148594,0.987014726,1,0.999196787,0.98647925
InsectEPGSmallTrain,0.998527443,1,0.999732262,1,0.934939759,0.934270415,0.99437751,1,0.945649264
InsectWingbeatSound,0.661868687,0.632222222,0.642138047,0.627356902,0.656447811,0.657828283,0.661986532,0.58010101,0.630286195
ItalyPowerDemand,0.961839974,0.962423064,0.958892128,0.960349854,0.960868157,0.961483641,0.965079365,0.949303531,0.952413346
LargeKitchenAppliances,0.935288889,0.860177778,0.921422222,0.952533333,0.931111111,0.928533333,0.867377778,0.813866667,0.926222222
Lightning2,0.783606557,0.768852459,0.773770492,0.816939891,0.774863388,0.77431694,0.756830601,0.763934426,0.652459016
Lightning7,0.797716895,0.793607306,0.752968037,0.820547945,0.796347032,0.797716895,0.752511416,0.696803653,0.752511416
Mallat,0.979061834,0.976702203,0.967803838,0.962601279,0.957370291,0.957725657,0.978464819,0.915209666,0.957839375
Meat,0.990555556,0.984444444,0.986111111,0.984444444,0.983888889,0.990555556,0.983333333,0.975,0.979444444
MedicalImages,0.809605263,0.799122807,0.742192982,0.796359649,0.806008772,0.804605263,0.795964912,0.75372807,0.718245614
MiddlePhalanxOutlineAgeGroup,0.717532468,0.694372294,0.694805195,0.594372294,0.711255411,0.715151515,0.71017316,0.69004329,0.671428571
MiddlePhalanxOutlineCorrect,0.836311569,0.805841924,0.816609393,0.834249714,0.832989691,0.832760596,0.826345934,0.766781214,0.832416953
MiddlePhalanxTW,0.592424242,0.573160173,0.583549784,0.527489177,0.590909091,0.591558442,0.59025974,0.574891775,0.574025974
MixedShapesRegularTrain,0.972893471,0.971381443,0.965745704,0.966378007,0.964975945,0.965333333,0.958611684,0.973869416,0.954680412
MixedShapesSmallTrain,0.951642612,0.947257732,0.944879725,0.913333333,0.930226804,0.931477663,0.914749141,0.953993127,0.930900344
MoteStrain,0.932747604,0.930111821,0.934877529,0.88056443,0.905777423,0.905644302,0.908280085,0.898668797,0.908892439
NonInvasiveFetalECGThorax1,0.955419847,0.914334182,0.928447837,0.958083121,0.954724343,0.952400339,0.93250212,0.829889737,0.933282443
NonInvasiveFetalECGThorax2,0.964783715,0.945292621,0.951280746,0.962188295,0.965937235,0.9614419,0.947446989,0.881662426,0.950059372
OliveOil,0.903333333,0.916666667,0.883333333,0.874444444,0.902222222,0.897777778,0.905555556,0.897777778,0.892222222
OSULeaf,0.965564738,0.973553719,0.976859504,0.952479339,0.939118457,0.939669421,0.860606061,0.966253444,0.93953168
PhalangesOutlinesCorrect,0.845415695,0.825330225,0.827117327,0.861344211,0.845299145,0.843356643,0.844483294,0.778438228,0.833411033
Phoneme,0.39092827,0.369848805,0.372292546,0.334440928,0.274753868,0.273857243,0.413800985,0.350791139,0.353586498
PigAirwayPressure,0.955448718,0.960096154,0.957371795,0.922115385,0.192307692,0.162339744,0.289903846,0.943429487,0.970352564
PigArtPressure,0.973237179,0.968910256,0.966987179,0.933333333,0.907051282,0.908814103,0.858333333,0.977724359,0.925320513
PigCVP,0.92900641,0.961378205,0.952724359,0.905288462,0.883173077,0.881089744,0.635096154,0.938621795,0.887820513
Plane,1,1,1,0.996825397,1,1,1,1,1
PowerCons,0.968888889,0.979444444,0.991481481,0.986296296,0.954814815,0.954814815,0.988888889,0.935555556,0.940555556
ProximalPhalanxOutlineAgeGroup,0.85398374,0.846341463,0.855609756,0.822113821,0.852357724,0.851382114,0.850081301,0.854308943,0.846666667
ProximalPhalanxOutlineCorrect,0.896334479,0.875486827,0.8860252,0.906300115,0.893814433,0.896105384,0.894730813,0.868041237,0.89163803
ProximalPhalanxTW,0.811219512,0.811056911,0.815934959,0.781626016,0.802601626,0.803577236,0.81300813,0.80195122,0.80796748
RefrigerationDevices,0.767022222,0.726844444,0.792088889,0.758933333,0.726222222,0.716533333,0.740177778,0.771466667,0.768444444
Rock,0.888666667,0.832,0.854,0.628,0.806,0.804,0.864666667,0.866666667,0.835333333
ScreenType,0.707022222,0.594222222,0.723111111,0.706044444,0.602755556,0.5968,0.669866667,0.636088889,0.705422222
SemgHandGenderCh2,0.961277778,0.938888889,0.97,0.884666667,0.9235,0.924833333,0.952111111,0.878722222,0.930222222
SemgHandMovementCh2,0.861925926,0.884962963,0.887333333,0.551555556,0.656666667,0.640592593,0.875259259,0.707555556,0.806222222
SemgHandSubjectCh2,0.938888889,0.933111111,0.951037037,0.762888889,0.915111111,0.914222222,0.933185185,0.860444444,0.916222222
ShapeletSim,1,1,1,0.923518519,0.996666667,0.997777778,0.973333333,1,1
ShapesAll,0.934277778,0.941055556,0.931444444,0.938055556,0.922555556,0.923555556,0.874666667,0.926611111,0.837166667
SmallKitchenAppliances,0.841244444,0.837955556,0.8304,0.770755556,0.819288889,0.817955556,0.844622222,0.8096,0.809866667
SmoothSubspace,0.982666667,0.997333333,0.987555556,0.984666667,0.972666667,0.974888889,0.988444444,0.854222222,0.933555556
SonyAIBORobotSurface1,0.952190793,0.889739323,0.847531891,0.954187465,0.957903494,0.957903494,0.917803661,0.725235718,0.82989462
SonyAIBORobotSurface2,0.947219307,0.901084295,0.939804127,0.95127667,0.935711787,0.935362015,0.928681357,0.904756908,0.93899965
StarLightCurves,0.981686094,0.98112757,0.979472236,0.978128541,0.980799741,0.981257083,0.979779828,0.977205763,0.976501538
Strawberry,0.978918919,0.973963964,0.974684685,0.975495495,0.978828829,0.979459459,0.973783784,0.973963964,0.972972973
SwedishLeaf,0.96352,0.96192,0.94992,0.96976,0.962666667,0.959786667,0.960426667,0.93248,0.931946667
Symbols,0.971457286,0.970820771,0.968207705,0.96958124,0.963953099,0.96760469,0.952227806,0.96479062,0.929112228
SyntheticControl,0.998444444,0.999,0.993777778,0.995777778,0.996888889,0.997333333,0.994,0.987222222,0.991222222
ToeSegmentation1,0.955409357,0.959795322,0.960964912,0.953070175,0.93245614,0.930555556,0.901461988,0.959356725,0.949415205
ToeSegmentation2,0.96025641,0.962564103,0.964615385,0.963589744,0.932820513,0.931538462,0.897435897,0.971025641,0.92974359
Trace,1,1,1,1,1,1,1,1,1
TwoLeadECG,0.999034241,0.990079017,0.996693006,0.994820018,0.998536728,0.998478197,0.984957565,0.999004975,0.999063506
TwoPatterns,1,0.999991667,0.999491667,1,1,1,0.999691667,0.998183333,0.989625
UMD,0.98587963,0.983333333,0.966666667,0.979861111,0.981944444,0.981481481,0.915740741,0.929398148,0.935416667
UWaveGestureLibraryAll,0.974865066,0.970742602,0.966666667,0.951191141,0.977405546,0.975227992,0.971877908,0.952819654,0.955285688
UWaveGestureLibraryX,0.860348036,0.846780197,0.832830821,0.833538061,0.857398102,0.856523358,0.845049321,0.832886655,0.812879211
UWaveGestureLibraryY,0.789456542,0.788023451,0.754057324,0.770761213,0.783752094,0.78323097,0.775041876,0.771449842,0.716666667
UWaveGestureLibraryZ,0.803294249,0.791178113,0.774744091,0.773217942,0.795700726,0.79580309,0.78884236,0.781099944,0.76246045
Wafer,1,0.998923859,0.999891845,0.998626433,0.998642656,0.998583171,0.999605235,0.999821544,0.999632273
Wine,0.924691358,0.898148148,0.89382716,0.887037037,0.921604938,0.922839506,0.874074074,0.882098765,0.87962963
WordSynonyms,0.766196447,0.793678161,0.693416928,0.752089864,0.765830721,0.758777429,0.695245559,0.753134796,0.655590387
Worms,0.758008658,0.768398268,0.713852814,0.780952381,0.705194805,0.714718615,0.748484848,0.742424242,0.723376623
WormsTwoClass,0.805194805,0.786147186,0.794372294,0.802597403,0.767532468,0.774458874,0.803463203,0.80952381,0.783549784
Yoga,0.930033333,0.872633333,0.912244444,0.912411111,0.913155556,0.912255556,0.8898,0.927633333,0.879866667
